system,channel,n,mean,std,median,q25,q75,min,max
DepMap/PRISM Master,Cancer future-state instability,723,0.2751873529353339,0.08347660643075647,0.2658614521483538,0.21934075056980126,0.32444437308255614,0.03666882474329575,0.6722508228809004
DepMap/PRISM Master,Individual-agent instability,723,0.8614177020859397,0.041706698770002215,0.8651279227445893,0.8362027822014287,0.8908423146989708,0.7078624231136939,0.9550431310471422
DepMap/PRISM Master,Inter-agent disagreement,723,0.207976414734497,0.09275331281210984,0.1939298661344835,0.14748489788689384,0.2584381125624857,0.0,1.0
DepMap/PRISM Master,Master-state instability,723,0.6669400236076848,0.036665147193309974,0.6672837190859285,0.6421661424084452,0.6919768656314408,0.5400936846887298,0.820429975994073
DepMap/PRISM Master,Self-observation uncertainty,723,0.03697039362379492,0.021212461039369267,0.033308977697471084,0.021155909946998674,0.05021813487624299,0.0011021117114718684,0.13655959447058305
LINCS future state,Cancer future-state instability,712,0.9651869461358933,0.5658450427240034,0.7918852865695953,0.5959987044334412,1.1295467615127563,0.2588283121585846,4.148815631866455
LINCS future state,Individual-agent instability,712,0.7674811639724772,0.47355408926013726,0.6140010858328935,0.464405293639757,0.8927285563837052,0.2528449819676277,3.2056676424745394
LINCS future state,Inter-agent disagreement,712,0.22120009767956536,0.10228287469368674,0.194624026597766,0.14197447517004516,0.27055801651622546,0.07524582871936522,0.625980210673542
LINCS future state,Master-state instability,712,0.7311697729511971,0.4725909288851773,0.5741439279298226,0.4300640096756507,0.8350816497746714,0.22024074030081994,3.1715184209406253
LINCS future state,Self-observation uncertainty,712,0.26679967791681314,0.26506827846388825,0.20340632280429816,0.10233184587953997,0.3246192970876278,0.0005886430791269825,1.9387746265843
TCGA patient outcome,Cancer future-state instability,42,0.6734723289745789,0.26670473221639424,0.8366407419411672,0.4066468779042923,0.897882061026159,3.134004785335168e-08,0.9967916319816366
TCGA patient outcome,Individual-agent instability,42,0.13115977741335097,0.027911184873821694,0.14010356092594686,0.11436931643040038,0.1515198016586941,0.05562356024969426,0.17143722353717197
TCGA patient outcome,Inter-agent disagreement,42,0.11067822065413371,0.05951054812565342,0.09933620720099294,0.0690396543980725,0.13862274456058937,0.019210079355505283,0.2602419028801733
TCGA patient outcome,Master-state instability,42,0.8505522136682945,0.1457380094816231,0.910851777413563,0.7606307851140898,0.962939300006429,0.48233004900111737,0.9997688778255179
TCGA patient outcome,Self-observation uncertainty,42,0.03963490199121306,0.023628364922617294,0.034108013495829904,0.02161653282296151,0.053458258802256235,0.0045915712220599425,0.09876191272142358
