metric,value
patients,42.0
events,15.0
non_events,27.0
roc_auc,0.6765432098765433
average_precision,0.6070425819987069
brier,0.2153610808502348
log_loss,0.624745964894857
accuracy_at_0_5,0.6428571428571429
ece_5_bins,0.11208279936813517
fit_prevalence,0.2602739726027397
prevalence_baseline_brier,0.23897541752674045
mean_predicted_self_error,0.5047467116638464
mean_actual_absolute_error,0.417200829038508
self_error_mae,0.20908472556659913
self_error_correlation,-0.2668097301382647
permutations,1000.0
auc_empirical_p_one_sided,0.026973026973026972
brier_empirical_p_one_sided,0.03596403596403597
osic_empirical_p_two_sided,0.000999000999000999
