project_id,non_events,events,eligible,partition
TCGA-ACC,8,2,10,calibration
TCGA-BLCA,4,2,6,test
TCGA-BRCA,5,0,5,fit
TCGA-CESC,6,3,9,test
TCGA-CHOL,6,2,8,fit
TCGA-COAD,5,1,6,fit
TCGA-DLBC,7,2,9,fit
TCGA-ESCA,0,6,6,fit
TCGA-GBM,1,7,8,fit
TCGA-HNSC,5,3,8,fit
TCGA-KICH,6,0,6,fit
TCGA-KIRC,6,2,8,fit
TCGA-KIRP,4,1,5,fit
TCGA-LAML,2,4,6,calibration
TCGA-LGG,4,3,7,fit
TCGA-LIHC,3,3,6,fit
TCGA-LUAD,4,2,6,fit
TCGA-LUSC,4,3,7,calibration
TCGA-MESO,4,3,7,calibration
TCGA-OV,5,1,6,fit
TCGA-PAAD,6,2,8,fit
TCGA-PCPG,8,1,9,calibration
TCGA-PRAD,6,0,6,test
TCGA-READ,6,1,7,fit
TCGA-SARC,8,2,10,fit
TCGA-SKCM,1,1,2,test
TCGA-STAD,0,4,4,test
TCGA-TGCT,7,0,7,fit
TCGA-THCA,5,0,5,fit
TCGA-THYM,10,0,10,fit
TCGA-UCEC,5,0,5,fit
TCGA-UCS,4,4,8,test
TCGA-UVM,6,1,7,test
