run,system,uncertainty_signal,metric,value,ci_95_low,ci_95_high,n_independent_biological_units,observed_value_permutation_p,fdr_bh_q
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,n_units,723.0,not_applicable,not_applicable,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,mean_actual_error,0.038024701507936,0.036774995092787,0.0393845716404889,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,mean_predicted_error,0.0369703936237949,0.0353717711770434,0.0385321178880009,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,mae,0.0185225727899494,0.0174279816056938,0.0196378561180451,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,rmse,0.0241644156689011,0.0222044594696231,0.0264258481125798,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,calibration_intercept,0.0311932686069171,0.0291275469643671,0.0334666973860462,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,calibration_slope,0.184781178435224,0.1229960780939815,0.2410824733004691,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,pearson,0.22663060605877,0.1550408845111562,0.3030427984089356,723,0.0004997501249375,0.0007496251874062
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,spearman,0.1409248106057839,0.0657232505569192,0.2118111305088798,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,high_error_detection_auroc,0.5560597480907854,0.5148161185167047,0.5987955495018441,723,not_applicable,not_applicable
depmap_prism_master,DepMap/PRISM Master,meta_uncertainty,high_error_detection_average_precision,0.6478544803835338,0.6091052757811533,0.6866799141292393,723,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,n_units,712.0,not_applicable,not_applicable,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,mean_actual_error,0.7311697729511971,0.6981970391530616,0.7659693356311837,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,mean_predicted_error,0.7741428901357031,0.7552966311891893,0.7922935792780409,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,mae,0.2667996779168131,0.2482165444421587,0.2862309963546857,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,rmse,0.3760894313648346,0.3402806415783033,0.4123954803352961,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,calibration_intercept,-0.1252824678309806,-0.2267124679706691,-0.0320889267659236,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,calibration_slope,1.1063232016921918,0.968955623721824,1.2507355917801637,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,pearson,0.6151918656409668,0.5648989856730463,0.6629484024678511,712,0.0004997501249375,0.0007496251874062
lincs_future_state,LINCS future state,master_self_observation_uncertainty,spearman,0.6385770782420922,0.5915222370375622,0.6808534768862013,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,high_error_detection_auroc,0.8078052013634642,0.7741176470588235,0.841072908036454,712,not_applicable,not_applicable
lincs_future_state,LINCS future state,master_self_observation_uncertainty,high_error_detection_average_precision,0.8320764829307654,0.8023829170071762,0.8616464633001023,712,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,n_units,42.0,not_applicable,not_applicable,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,mean_actual_error,0.417200829038508,0.3585327579620643,0.4781881235394804,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,mean_predicted_error,0.5047467116638464,0.4756296146003476,0.5341186394769614,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,mae,0.2090847255665991,0.1633331009197076,0.2573327313165684,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,rmse,0.2616887605905065,0.2077288004073574,0.3118806059549948,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,calibration_intercept,0.7034477662659769,0.3476259828542142,1.070822196995705,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,calibration_slope,-0.5671100585953006,-1.2484915299958763,0.2192459045130376,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,pearson,-0.2668097301382647,-0.5801353120359182,0.1011269428754528,42,0.0804597701149425,0.0804597701149425
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,spearman,-0.3211247062636739,-0.6331190455093962,0.034727250937805,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,high_error_detection_auroc,0.326530612244898,0.1700497361415962,0.55,42,not_applicable,not_applicable
tcga_patient_outcome,TCGA patient outcome,predicted_master_error,high_error_detection_average_precision,0.4008824617891197,0.3677292759486489,0.5642401188025551,42,not_applicable,not_applicable
